close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
246.39,248.35,234.25,234.56,166561471,246.39,248.35,234.25,234.56,166561471,0.0,1.0
251.52,252.37,242.4601,249.81,154501152,251.52,252.37,242.4601,249.81,154501152,0.0,1.0
252.94,259.439,244.57,247.71,157219580,252.94,259.439,244.57,247.71,157219580,0.0,1.0
262.33,265.61,250.3,251.0,160742516,262.33,265.61,250.3,251.0,160742516,0.0,1.0
263.26,267.59,257.86,262.8,128519430,263.26,267.59,257.86,262.8,128519430,0.0,1.0
241.03,271.0,239.65,263.3,221707273,241.03,271.0,239.65,263.3,221707273,0.0,1.0
248.23,251.84,233.0912,235.8,155955773,248.23,251.84,233.0912,235.8,155955773,0.0,1.0
252.64,265.6,251.73,255.97,146912920,252.64,265.6,251.73,255.97,146912920,0.0,1.0
256.56,258.62,245.8001,255.31,126332470,256.56,258.62,245.8001,255.31,126332470,0.0,1.0
248.5,258.47,246.182,252.73,115584810,248.5,258.47,246.182,252.73,115584810,0.0,1.0
249.23,257.14,247.2,251.09,110869037,249.23,257.14,247.2,251.09,110869037,0.0,1.0
239.2,249.44,236.83,247.79,87403903,239.2,249.44,236.83,247.79,87403903,0.0,1.0
251.51,253.21,243.75,244.21,101225430,251.51,253.21,243.75,244.21,101225430,0.0,1.0
246.38,255.7594,245.63,253.6,111928192,246.38,255.7594,245.63,253.6,111928192,0.0,1.0
215.99,225.99,214.71,225.42,165895900,215.99,225.99,214.71,225.42,165895900,0.0,1.0
